symbol,t,date,final_state,final_score,caps,weakest_lens,agreement_count,why_not_higher,regime,zone,location,extension,queue
META,1680,2024-09-06,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Range,Fresh,NearSupport,Stretched,borderline
KO,1740,2024-12-02,Mixed,65,agree3,Agreement,4,capped by agree3 (<= 69),Trend,Fresh,Upper,Normal,borderline
XOM,1720,2024-11-01,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Range,Fresh,NearResistance,Normal,borderline
JPM,260,2019-01-15,Mixed,69,agree3,Agreement,4,capped by agree3 (<= 69),Range,Fresh,Upper,Stretched,borderline
WMT,1920,2025-08-22,Mixed,65,agree3,Agreement,5,capped by agree3 (<= 69),Trend,Fresh,Lower,Normal,borderline
SPY,260,2019-01-15,Mixed,50,broken;agree3,Zone,5,capped by broken (<= 50),Trend,Broken,NearSupport,Stretched,caps_saved
SPY,280,2019-02-13,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Trend,Broken,Upper,Normal,caps_saved
SPY,300,2019-03-14,Unclear,44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Chop,Broken,NearResistance,Extended,caps_saved
SPY,320,2019-04-11,Mixed,50,broken;severe;agree3,Zone,4,capped by broken (<= 50),Trend,Broken,NearSupport,Severe,caps_saved
SPY,340,2019-05-10,Mixed,50,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Trend,Weak,NearSupport,Severe,caps_saved
SPY,360,2019-06-10,Unclear,44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Broken,NearSupport,Extended,caps_saved
SPY,380,2019-07-09,Unclear,44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Chop,Weak,Upper,Severe,caps_saved
SPY,400,2019-08-06,Mixed,50,broken;extended;agree3,Zone,4,capped by broken (<= 50),Trend,Broken,NearSupport,Extended,caps_saved
SPY,420,2019-09-04,Unclear,44,chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Chop,Fresh,NearResistance,Extended,caps_saved
SPY,440,2019-10-02,Mixed,50,broken;agree3,Zone,3,capped by broken (<= 50),Range,Broken,Lower,Stretched,caps_saved
SPY,460,2019-10-30,Mixed,50,broken;severe;agree3,Zone,2,capped by broken (<= 50),Range,Broken,Upper,Severe,caps_saved
SPY,480,2019-11-27,Mixed,50,pricediscovery;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Above,Severe,caps_saved
SPY,500,2019-12-27,Mixed,50,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Trend,Weak,Upper,Severe,caps_saved
