symbol,t,date,final_state,final_score,weak_label,weak_reason,caps,weakest_lens,agreement_count,why_not_higher
SPY,260,2019-01-15,Mixed,50,reject,broken_zone,broken;agree3,Zone Quality,5,capped by broken (<= 50)
SPY,285,2019-02-21,Mixed,50,reject,broken_zone,broken;agree3,Zone Quality,4,capped by broken (<= 50)
SPY,310,2019-03-28,Unclear,44,reject,chop,chop;broken;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,335,2019-05-03,Unclear,44,reject,chop,chop;weakzone;severe;agree3,Chop/Regime,2,capped by chop (<= 44)
SPY,360,2019-06-10,Unclear,44,reject,chop,chop;broken;extended;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,385,2019-07-16,Mixed,50,reject,severe_extension,weakzone;severe;agree3,ATR Extension,3,capped by severe (<= 50)
SPY,410,2019-08-20,Unclear,44,reject,chop,chop;broken;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,435,2019-09-25,Unclear,44,reject,chop,chop;broken;severe;agree3,Chop/Regime,2,capped by chop (<= 44)
SPY,460,2019-10-30,Mixed,50,reject,broken_zone,broken;severe;agree3,Zone Quality,3,capped by broken (<= 50)
SPY,485,2019-12-05,Unclear,44,reject,chop,chop;weakzone;severe;midrange;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,510,2020-01-13,Unclear,44,reject,chop,chop;broken;severe;pricediscovery;agree3,Chop/Regime,2,capped by chop (<= 44)
SPY,535,2020-02-19,Mixed,50,reject,severe_extension,severe;agree3,ATR Extension,4,capped by severe (<= 50)
SPY,560,2020-03-25,Unclear,44,reject,chop,chop;broken;extended;agree3,Chop/Regime,1,capped by chop (<= 44)
SPY,585,2020-04-30,Unclear,44,reject,chop,chop;broken;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,610,2020-06-05,Mixed,50,reject,broken_zone,broken;extended;compression;agree3,Zone Quality,2,capped by broken (<= 50)
SPY,635,2020-07-13,Mixed,50,reject,broken_zone,broken;agree3,Zone Quality,4,capped by broken (<= 50)
SPY,660,2020-08-17,Mixed,50,reject,severe_extension,severe;agree3,ATR Extension,4,capped by severe (<= 50)
SPY,685,2020-09-22,Unclear,44,reject,chop,chop;broken;extended;agree3,Chop/Regime,3,capped by chop (<= 44)
SPY,710,2020-10-27,Mixed,50,reject,broken_zone,broken;severe;agree3,Zone Quality,4,capped by broken (<= 50)
SPY,735,2020-12-02,Unclear,44,reject,chop,chop;weakzone;severe;agree3,Chop/Regime,1,capped by chop (<= 44)
