symbol,date,final_state,final_score,caps,zone,location,regime,extension,trend,weakest_lens,why_not_higher,founder_label,founder_note
AAPL,2019-08-06,Unclear,40,broken;contradictory;agree3,Broken,Lower,Trend,Stretched,Clean,Agreement,capped by contradictory (<= 40),,
TSLA,2023-05-30,Unclear,40,broken;contradictory;agree3,Broken,NearSupport,Trend,Normal,Clean,Agreement,capped by contradictory (<= 40),genuinely_unclear,"conf=0.65. Broken may be spurious because price reclaimed the in-play zone, but the chart itself is genuinely conflicted. Not a clean normal pullback or stale-zone case; price is in a wide volatile range around a major reaction zone."
GE,2019-05-10,Unclear,40,broken;contradictory;agree3,Broken,Upper,Trend,Normal,Clean,Agreement,capped by contradictory (<= 40),,
QQQ,2019-08-06,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
AAPL,2023-02-02,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
MSFT,2024-12-31,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),stale_zone_false_cap,"conf=0.75. Broken fired on a secondary support far from current price while the nearest in-play support around 407-425 remained intact. More range/mixed than a clean pullback, but the cap was triggered by a stale/secondary cluster rather than the active structure."
NVDA,2021-05-05,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
SPY,2019-01-15,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),genuinely_unclear,conf=0.70. Price made a very deep 4.61 ATR excursion below the in-play support and spent 14 bars below before reclaiming. Not a stale/secondary-zone false cap and not a normal pullback. Deep volatility damage means the chart remains genuinely unclear.
NVDA,2022-04-18,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),stale_zone_false_cap,"conf=0.75. Broken triggered by a secondary/far support about 2.9 ATR from price while the nearest in-play support around 20.5-23 did not break. Chart is weak/mixed, but the Broken cap appears to come from the wrong level."
NVDA,2024-09-06,Mixed,50,broken;agree3,Broken,Lower,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
TSLA,2024-01-18,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
META,2026-04-14,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),genuinely_unclear,"conf=0.70. Price made a deep 4.76 ATR excursion below the in-play support and spent 16 bars below before reclaiming. Broken may be uncertain due to reclaim, but this is a structurally conflicted round-trip around an active zone."
AMZN,2019-08-06,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
AMZN,2022-03-18,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),genuinely_unclear,"conf=0.70. Deep 3.28 ATR excursion below the in-play support, with 18 bars below before reclaim. Broken may be uncertain because price reclaimed the zone, but not a normal pullback and not a stale/secondary-zone case."
AMZN,2025-11-17,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
AAPL,2021-05-05,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
KO,2021-11-22,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
KO,2023-07-27,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
XOM,2021-11-22,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),stale_zone_false_cap,"conf=0.70-0.75. Broken fired on an old/local support cluster with non-decisive penetration. Old levels can matter if they are major regime levels, but this cap looks wrong because the break was tied to a stale/minor cluster, not a confirmed HTF structural failure."
KO,2025-10-20,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
XOM,2025-04-29,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
JPM,2019-08-06,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),,
JPM,2019-10-02,Mixed,50,broken;agree3,Broken,NearSupport,Trend,Stretched,Clean,Zone,capped by broken (<= 50),normal_pullback_false_cap,"conf=0.65-0.70. Relevant support around 93-96 was tested after a strong September breakout. Price dipped briefly below the zone but reclaimed it, with only one bar below. Normal pullback into a relevant support area, not a confirmed breakdown."
JPM,2026-04-14,Mixed,50,broken;agree3,Broken,NearResistance,Trend,Normal,Clean,Zone,capped by broken (<= 50),,
