symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
QQQ,260,2019-01-15,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Stretched,False
QQQ,280,2019-02-13,Mixed,50,45-69,broken;compression;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Compression,Normal,False
QQQ,300,2019-03-14,Mixed,50,45-69,broken;compression;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearResistance,Compression,Stretched,False
QQQ,320,2019-04-11,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
QQQ,340,2019-05-10,Mixed,50,45-69,severe,Extension,5,capped by severe (<= 50),Clean,Fresh,NearResistance,Trend,Severe,False
QQQ,360,2019-06-10,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Range-bound,Broken,Upper,Chop,Extended,False
QQQ,380,2019-07-09,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Upper,Chop,Severe,False
QQQ,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Stretched,False
QQQ,420,2019-09-04,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Extended,False
QQQ,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Normal,False
QQQ,460,2019-10-30,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Upper,Chop,Severe,False
QQQ,480,2019-11-27,Mixed,50,45-69,pricediscovery;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Above,Trend,Severe,False
QQQ,500,2019-12-27,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
QQQ,520,2020-01-28,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
QQQ,540,2020-02-26,Mixed,50,45-69,broken;extended;severe;agree3,Zone,2,capped by broken (<= 50),Clean,Broken,Lower,Expansion,Severe,False
QQQ,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Normal,False
QQQ,580,2020-04-23,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,Upper,Chop,Normal,False
QQQ,600,2020-05-21,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Upper,Chop,Severe,False
QQQ,620,2020-06-19,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Weak,NearResistance,Chop,Severe,False
QQQ,640,2020-07-20,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearResistance,Trend,Severe,False
QQQ,660,2020-08-17,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Fresh,Upper,Chop,Severe,False
QQQ,680,2020-09-15,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Lower,Chop,Severe,False
QQQ,700,2020-10-13,Mixed,50,45-69,severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Weak,Weak,Upper,Range,Severe,False
QQQ,720,2020-11-10,Unclear,44,0-44,chop;midrange;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Weak,Mid,Chop,Severe,False
QQQ,740,2020-12-09,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Severe,False
QQQ,760,2021-01-08,Mixed,50,45-69,pricediscovery;severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Mixed,Weak,Above,Range,Severe,False
QQQ,780,2021-02-08,Unclear,44,0-44,chop;pricediscovery;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Fresh,Above,Chop,Severe,False
QQQ,800,2021-03-09,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Extended,False
QQQ,820,2021-04-07,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearResistance,Trend,Severe,False
QQQ,840,2021-05-05,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Severe,False
QQQ,860,2021-06-03,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Range,Severe,False
