symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
AVGO,260,2019-01-15,Unclear,44,0-44,chop;agree3,Chop/Regime,4,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Stretched,False
AVGO,280,2019-02-13,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Fresh,Upper,Chop,Severe,False
AVGO,300,2019-03-14,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Weak,Lower,Chop,Severe,False
AVGO,320,2019-04-11,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
AVGO,340,2019-05-10,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
AVGO,360,2019-06-10,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearResistance,Trend,Stretched,False
AVGO,380,2019-07-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AVGO,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,Lower,Trend,Normal,False
AVGO,420,2019-09-04,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AVGO,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Normal,False
AVGO,460,2019-10-30,Unclear,44,0-44,chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Tested,Upper,Chop,Normal,False
AVGO,480,2019-11-27,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Upper,Chop,Severe,False
AVGO,500,2019-12-27,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Severe,False
AVGO,520,2020-01-28,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Extended,False
AVGO,540,2020-02-26,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Range-bound,Broken,Lower,Range,Normal,False
AVGO,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Stretched,False
AVGO,580,2020-04-23,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Normal,False
AVGO,600,2020-05-21,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Normal,False
AVGO,620,2020-06-19,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
AVGO,640,2020-07-20,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Severe,False
AVGO,660,2020-08-17,Unclear,40,0-44,chop;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Clean,Fresh,Upper,Chop,Severe,False
AVGO,680,2020-09-15,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
AVGO,700,2020-10-13,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
AVGO,720,2020-11-10,Unclear,44,0-44,chop;severe,Chop/Regime,4,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Severe,False
AVGO,740,2020-12-09,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Clean,Fresh,Upper,Trend,Severe,False
AVGO,760,2021-01-08,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
