symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
CVX,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Stretched,False
CVX,280,2019-02-13,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Range-bound,Broken,NearSupport,Range,Normal,False
CVX,300,2019-03-14,Mixed,50,45-69,severe,Extension,5,capped by severe (<= 50),Range-bound,Fresh,NearResistance,Trend,Severe,False
CVX,320,2019-04-11,Mixed,50,45-69,severe,Extension,5,capped by severe (<= 50),Clean,Fresh,NearResistance,Trend,Severe,False
CVX,340,2019-05-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Range-bound,Broken,Upper,Chop,Stretched,False
CVX,360,2019-06-10,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Extended,False
CVX,380,2019-07-09,Unclear,40,0-44,broken;chop;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Clean,Broken,Mid,Chop,Severe,False
CVX,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Normal,False
CVX,420,2019-09-04,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
CVX,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,Lower,Trend,Stretched,False
CVX,460,2019-10-30,Unclear,40,0-44,broken;chop;contradictory;agree3,Agreement,3,capped by contradictory (<= 40),Mixed,Broken,NearSupport,Chop,Normal,False
CVX,480,2019-11-27,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,Mid,Range,Normal,False
CVX,500,2019-12-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearResistance,Chop,Normal,False
CVX,520,2020-01-28,Unclear,40,0-44,broken;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Clean,Broken,Lower,Trend,Severe,False
CVX,540,2020-02-26,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
CVX,560,2020-03-25,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,Mid,Chop,Severe,False
CVX,580,2020-04-23,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Extended,False
