symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
SPY,260,2019-01-15,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Stretched,False
SPY,280,2019-02-13,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Upper,Trend,Normal,False
SPY,300,2019-03-14,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Extended,False
SPY,320,2019-04-11,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
SPY,340,2019-05-10,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearSupport,Trend,Severe,False
SPY,360,2019-06-10,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Extended,False
SPY,380,2019-07-09,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
SPY,400,2019-08-06,Mixed,50,45-69,broken;extended;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Extended,False
SPY,420,2019-09-04,Unclear,44,0-44,chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Fresh,NearResistance,Chop,Extended,False
SPY,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,Lower,Range,Stretched,False
SPY,460,2019-10-30,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Mixed,Broken,Upper,Range,Severe,False
SPY,480,2019-11-27,Mixed,50,45-69,pricediscovery;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Above,Trend,Severe,False
SPY,500,2019-12-27,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
SPY,520,2020-01-28,Unclear,44,0-44,chop;midrange;severe;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Weak,Mid,Chop,Severe,False
SPY,540,2020-02-26,Mixed,50,45-69,broken;extended;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Expansion,Normal,False
SPY,560,2020-03-25,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,1,capped by chop (<= 44),Weak,Broken,Lower,Chop,Extended,False
SPY,580,2020-04-23,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Normal,False
SPY,600,2020-05-21,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Normal,False
