priority_rank,symbol,date,window_t,agent_label,confidence,broken_assessment,reason,visual_evidence,chart_ref,founder_label,notes
1,AMD,2019-08-06,400,normal_pullback_false_cap,0.7,spurious (pullback),Price dipped 0.52 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=0.52 ATR; bars_below=1; reclaimed=True; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=0.1 ATR; pivot_age=25 bars,founder_review_charts.html#win-AMD-2019-08-06,,
2,JPM,2019-10-02,440,normal_pullback_false_cap,0.65,spurious (pullback),Price dipped 1.01 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=1.01 ATR; bars_below=1; reclaimed=True; trip_inplay=True; trip_dist=0.6 ATR; nearest_support=0.6 ATR; pivot_age=46 bars,founder_review_charts.html#win-JPM-2019-10-02,,
3,INTC,2023-09-22,1440,normal_pullback_false_cap,0.65,spurious (pullback),Price dipped 1.02 ATR below the in-play support within the window but reclaimed it by this bar with a Clean trend / Trend regime - an ordinary pullback through the level not a break.,pen=1.02 ATR; bars_below=2; reclaimed=True; trip_inplay=True; trip_dist=0.4 ATR; nearest_support=0.4 ATR; pivot_age=27 bars,founder_review_charts.html#win-INTC-2023-09-22,,
4,XOM,2021-11-22,980,stale_zone_false_cap,0.75,spurious (stale),In-play support is built from old pivots (~698 bars) and the penetration is non-decisive (0.73 ATR); the level looks stale rather than freshly broken.,pen=0.73 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=1.0 ATR; pivot_age=698 bars,founder_review_charts.html#win-XOM-2021-11-22,,
5,MSFT,2024-12-31,1760,stale_zone_false_cap,0.69,spurious (stale),Broken fired on a secondary support ~2.8 ATR from price while the nearest in-play support (~0.8 ATR) did not break; constituent pivots ~122 bars old. Nearest structure intact.,pen=2.83 ATR; bars_below=12; reclaimed=False; trip_inplay=False; trip_dist=2.8 ATR; nearest_support=0.8 ATR; pivot_age=122 bars,founder_review_charts.html#win-MSFT-2024-12-31,,
6,NVDA,2022-04-18,1080,stale_zone_false_cap,0.69,spurious (stale),Broken fired on a secondary support ~2.9 ATR from price while the nearest in-play support (~0.8 ATR) did not break; constituent pivots ~62 bars old. Nearest structure intact.,pen=3.29 ATR; bars_below=8; reclaimed=False; trip_inplay=False; trip_dist=2.9 ATR; nearest_support=0.8 ATR; pivot_age=62 bars,founder_review_charts.html#win-NVDA-2022-04-18,,
7,NVDA,2024-09-06,1680,stale_zone_false_cap,0.66,spurious (stale),Broken fired on a secondary support ~2.2 ATR from price while the nearest in-play support (~1.8 ATR) did not break; constituent pivots ~47 bars old. Nearest structure intact.,pen=2.22 ATR; bars_below=8; reclaimed=False; trip_inplay=False; trip_dist=2.2 ATR; nearest_support=1.8 ATR; pivot_age=47 bars,founder_review_charts.html#win-NVDA-2024-09-06,,
8,GE,2020-02-26,540,stale_zone_false_cap,0.61,spurious (stale),Broken fired on a secondary support ~1.2 ATR from price while the nearest in-play support (~0.3 ATR) did not break; constituent pivots ~19 bars old. Nearest structure intact.,pen=1.19 ATR; bars_below=2; reclaimed=False; trip_inplay=False; trip_dist=1.2 ATR; nearest_support=0.3 ATR; pivot_age=19 bars,founder_review_charts.html#win-GE-2020-02-26,,
9,WMT,2023-05-30,1360,stale_zone_false_cap,0.6,spurious (stale),Broken fired on a secondary support ~1.1 ATR from price while the nearest in-play support (~2.0 ATR) did not break; constituent pivots ~14 bars old. Nearest structure intact.,pen=1.07 ATR; bars_below=4; reclaimed=False; trip_inplay=False; trip_dist=1.1 ATR; nearest_support=2.0 ATR; pivot_age=14 bars,founder_review_charts.html#win-WMT-2023-05-30,,
10,AAPL,2019-08-06,400,genuinely_unclear,0.5,uncertain,Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks uncertain.,pen=1.01 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=2.6 ATR; pivot_age=63 bars,founder_review_charts.html#win-AAPL-2019-08-06,,
