symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
AMZN,260,2019-01-15,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Normal,False
AMZN,280,2019-02-13,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AMZN,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
AMZN,320,2019-04-11,Mixed,50,45-69,broken;extended;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Trend,Extended,False
AMZN,340,2019-05-10,Mixed,50,45-69,broken;extended;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Extended,False
AMZN,360,2019-06-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
AMZN,380,2019-07-09,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Severe,False
AMZN,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Normal,False
AMZN,420,2019-09-04,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AMZN,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearResistance,Trend,Normal,False
AMZN,460,2019-10-30,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Normal,False
AMZN,480,2019-11-27,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Normal,False
AMZN,500,2019-12-27,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
AMZN,520,2020-01-28,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AMZN,540,2020-02-26,Mixed,50,45-69,broken;extended;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Expansion,Stretched,False
AMZN,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Normal,False
AMZN,580,2020-04-23,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
AMZN,600,2020-05-21,Unclear,44,0-44,chop;severe,Chop/Regime,4,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Severe,False
AMZN,620,2020-06-19,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearResistance,Trend,Severe,False
AMZN,640,2020-07-20,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
AMZN,660,2020-08-17,Unclear,44,0-44,chop;severe,Chop/Regime,4,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Severe,False
AMZN,680,2020-09-15,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearSupport,Trend,Severe,False
AMZN,700,2020-10-13,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Range,Severe,False
AMZN,720,2020-11-10,Unclear,40,0-44,broken;chop;contradictory;extended;agree3,Agreement,1,capped by contradictory (<= 40),Mixed,Broken,Lower,Chop,Extended,False
AMZN,740,2020-12-09,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Severe,False
AMZN,760,2021-01-08,Unclear,44,0-44,chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Extended,False
AMZN,780,2021-02-08,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearResistance,Chop,Extended,False
AMZN,800,2021-03-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,Mid,Chop,Normal,False
AMZN,820,2021-04-07,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Upper,Range,Normal,False
AMZN,840,2021-05-05,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Normal,False
AMZN,860,2021-06-03,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
AMZN,880,2021-07-01,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearResistance,Chop,Extended,False
AMZN,900,2021-07-30,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Normal,False
AMZN,920,2021-08-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
AMZN,940,2021-09-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Normal,False
AMZN,960,2021-10-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
AMZN,980,2021-11-22,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Stretched,False
AMZN,1000,2021-12-21,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearResistance,Chop,Normal,False
AMZN,1020,2022-01-20,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Severe,False
AMZN,1040,2022-02-17,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,Upper,Range,Stretched,False
AMZN,1060,2022-03-18,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Normal,False
AMZN,1080,2022-04-18,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Lower,Range,Stretched,False
AMZN,1100,2022-05-16,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
AMZN,1120,2022-06-14,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
AMZN,1140,2022-07-14,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,Mid,Chop,Severe,False
AMZN,1160,2022-08-11,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Normal,False
AMZN,1180,2022-09-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
AMZN,1200,2022-10-07,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Severe,False
AMZN,1220,2022-11-04,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
AMZN,1240,2022-12-05,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Lower,Chop,Severe,False
AMZN,1260,2023-01-04,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
AMZN,1280,2023-02-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Normal,False
AMZN,1300,2023-03-03,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Severe,False
AMZN,1320,2023-03-31,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Normal,False
AMZN,1340,2023-05-01,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
AMZN,1360,2023-05-30,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
AMZN,1380,2023-06-28,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Upper,Chop,Severe,False
