symbol,date,t,final_state,final_score,binding_cap,zone,location,regime,extension,trend,agent_label,confidence,broken_zone_assessment,reason,visual_evidence,diag_trip_inplay,diag_penetration_atr,diag_bars_below,diag_reclaimed,diag_pivot_age_bars,diag_nearest_sup_atr,diag_trip_cluster_atr,diag_n_sup_clusters,engine_zone_state,founder_label,agreement
AAPL,2019-08-06,400,Unclear,40,capped by contradictory (<= 40),Broken,Lower,Trend,Stretched,Clean,genuinely_unclear,0.5,uncertain,Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks uncertain.,pen=1.01 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=2.6 ATR; pivot_age=63 bars,True,1.01,2,False,63,2.56,0.27,9,Broken,,
TSLA,2023-05-30,1360,Unclear,40,capped by contradictory (<= 40),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.5,spurious (pullback),Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks spurious (pullback).,pen=4.80 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.4 ATR; nearest_support=0.4 ATR; pivot_age=144 bars,True,4.8,20,True,144,0.43,0.43,26,Broken,genuinely_unclear,agree
GE,2019-05-10,340,Unclear,40,capped by contradictory (<= 40),Broken,Upper,Trend,Normal,Clean,genuinely_unclear,0.5,spurious (pullback),Binding cap is 'contradictory' - structure conflicts with the Clean trend at this bar; clarity is held down by that conflict not only by Broken. The Broken flag itself looks spurious (pullback).,pen=2.69 ATR; bars_below=11; reclaimed=True; trip_inplay=True; trip_dist=1.1 ATR; nearest_support=1.1 ATR; pivot_age=25 bars,True,2.69,11,True,25,1.08,1.08,14,Broken,,
QQQ,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Stretched,Clean,genuinely_unclear,0.45,uncertain,Decisive 1.31 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.31 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=2.0 ATR; pivot_age=24 bars,True,1.31,2,False,24,1.99,0.47,11,Broken,,
AAPL,2023-02-02,1280,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 6.36 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=6.36 ATR; bars_below=20; reclaimed=True; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=0.3 ATR; pivot_age=90 bars,True,6.36,20,True,90,0.31,0.31,20,Broken,,
MSFT,2024-12-31,1760,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,stale_zone_false_cap,0.69,spurious (stale),Broken fired on a secondary support ~2.8 ATR from price while the nearest in-play support (~0.8 ATR) did not break; constituent pivots ~122 bars old. Nearest structure intact.,pen=2.83 ATR; bars_below=12; reclaimed=False; trip_inplay=False; trip_dist=2.8 ATR; nearest_support=0.8 ATR; pivot_age=122 bars,False,2.83,12,False,122,0.79,2.83,28,Broken,stale_zone_false_cap,agree
NVDA,2021-05-05,840,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Stretched,Clean,true_broken,0.65,valid,Decisive close-through of the in-play support by 1.30 ATR over 5 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=1.30 ATR; bars_below=5; reclaimed=False; trip_inplay=True; trip_dist=0.7 ATR; nearest_support=3.3 ATR; pivot_age=4 bars,True,1.3,5,False,4,3.34,0.66,13,Broken,,
SPY,2019-01-15,260,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 4.61 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.61 ATR; bars_below=14; reclaimed=True; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=47 bars,True,4.61,14,True,47,0.54,0.54,8,Broken,genuinely_unclear,agree
NVDA,2022-04-18,1080,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,stale_zone_false_cap,0.69,spurious (stale),Broken fired on a secondary support ~2.9 ATR from price while the nearest in-play support (~0.8 ATR) did not break; constituent pivots ~62 bars old. Nearest structure intact.,pen=3.29 ATR; bars_below=8; reclaimed=False; trip_inplay=False; trip_dist=2.9 ATR; nearest_support=0.8 ATR; pivot_age=62 bars,False,3.29,8,False,62,0.76,2.9,12,Broken,stale_zone_false_cap,agree
NVDA,2024-09-06,1680,Mixed,50,capped by broken (<= 50),Broken,Lower,Trend,Stretched,Clean,stale_zone_false_cap,0.66,spurious (stale),Broken fired on a secondary support ~2.2 ATR from price while the nearest in-play support (~1.8 ATR) did not break; constituent pivots ~47 bars old. Nearest structure intact.,pen=2.22 ATR; bars_below=8; reclaimed=False; trip_inplay=False; trip_dist=2.2 ATR; nearest_support=1.8 ATR; pivot_age=47 bars,False,2.22,8,False,47,1.77,2.22,11,Broken,,
TSLA,2024-01-18,1520,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.45,uncertain,Moderate 0.52 ATR penetration of the in-play support over 1 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.52 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.5 ATR; nearest_support=0.5 ATR; pivot_age=99 bars,True,0.52,1,False,99,0.48,0.52,25,Broken,,
META,2026-04-14,2080,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 4.76 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=4.76 ATR; bars_below=16; reclaimed=True; trip_inplay=True; trip_dist=1.6 ATR; nearest_support=1.6 ATR; pivot_age=33 bars,True,4.76,16,True,33,1.57,1.57,21,Broken,genuinely_unclear,agree
AMZN,2019-08-06,400,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Normal,Clean,genuinely_unclear,0.45,uncertain,Decisive 1.34 ATR penetration of the in-play support but only 2 bar(s) below the threshold - a fresh unconfirmed break; too early to call broken vs pullback.,pen=1.34 ATR; bars_below=2; reclaimed=False; trip_inplay=True; trip_dist=0.8 ATR; nearest_support=1.2 ATR; pivot_age=53 bars,True,1.34,2,False,53,1.16,0.75,11,Broken,,
AMZN,2022-03-18,1060,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 3.28 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=3.28 ATR; bars_below=18; reclaimed=True; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.9 ATR; pivot_age=42 bars,True,3.28,18,True,42,0.94,0.94,11,Broken,genuinely_unclear,agree
AMZN,2025-11-17,1980,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 1.44 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=1.44 ATR; bars_below=6; reclaimed=True; trip_inplay=True; trip_dist=1.0 ATR; nearest_support=1.0 ATR; pivot_age=41 bars,True,1.44,6,True,41,0.97,0.97,18,Broken,,
AAPL,2021-05-05,840,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,genuinely_unclear,0.45,uncertain,Moderate 0.95 ATR penetration of the in-play support over 3 bars with no reclaim - evidence does not cleanly separate a real break from a pullback.,pen=0.95 ATR; bars_below=3; reclaimed=False; trip_inplay=True; trip_dist=0.9 ATR; nearest_support=0.6 ATR; pivot_age=5 bars,True,0.95,3,False,5,0.65,0.87,16,Broken,,
KO,2021-11-22,980,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,true_broken,0.72,valid,Decisive close-through of the in-play support by 2.17 ATR over 4 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=2.17 ATR; bars_below=4; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=0.6 ATR; pivot_age=72 bars,True,2.17,4,False,72,0.65,0.19,23,Broken,,
KO,2023-07-27,1400,Mixed,50,capped by broken (<= 50),Broken,NearResistance,Trend,Stretched,Clean,true_broken,0.85,valid,Decisive close-through of the in-play support by 4.26 ATR over 17 bars below the broken threshold with no reclaim at this bar - consistent with a genuine structural break.,pen=4.26 ATR; bars_below=17; reclaimed=False; trip_inplay=True; trip_dist=0.2 ATR; nearest_support=1.3 ATR; pivot_age=57 bars,True,4.26,17,False,57,1.35,0.25,25,Broken,,
XOM,2021-11-22,980,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Stretched,Clean,stale_zone_false_cap,0.75,spurious (stale),In-play support is built from old pivots (~698 bars) and the penetration is non-decisive (0.73 ATR); the level looks stale rather than freshly broken.,pen=0.73 ATR; bars_below=1; reclaimed=False; trip_inplay=True; trip_dist=0.1 ATR; nearest_support=1.0 ATR; pivot_age=698 bars,True,0.73,1,False,698,1.0,0.14,16,Broken,stale_zone_false_cap,agree
KO,2025-10-20,1960,Mixed,50,capped by broken (<= 50),Broken,NearSupport,Trend,Normal,Clean,genuinely_unclear,0.48,uncertain,Price made a deep 2.94 ATR excursion below the in-play support then reclaimed it by this bar - a volatile round-trip; not currently broken but not clean structure either.,pen=2.94 ATR; bars_below=19; reclaimed=True; trip_inplay=True; trip_dist=0.3 ATR; nearest_support=0.3 ATR; pivot_age=79 bars,True,2.94,19,True,79,0.27,0.27,28,Broken,,
