symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
JNJ,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Normal,False
JNJ,280,2019-02-13,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
JNJ,300,2019-03-14,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Extended,False
JNJ,320,2019-04-11,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,Lower,Range,Normal,False
JNJ,340,2019-05-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Normal,False
JNJ,360,2019-06-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
JNJ,380,2019-07-09,Unclear,44,0-44,chop;agree3,Chop/Regime,4,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Stretched,False
JNJ,400,2019-08-06,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
JNJ,420,2019-09-04,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Stretched,False
JNJ,440,2019-10-02,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
JNJ,460,2019-10-30,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
JNJ,480,2019-11-27,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Stretched,False
JNJ,500,2019-12-27,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Clean,Fresh,Upper,Trend,Severe,False
JNJ,520,2020-01-28,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
JNJ,540,2020-02-26,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Lower,Trend,Severe,False
JNJ,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearSupport,Chop,Stretched,False
JNJ,580,2020-04-23,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Extended,False
