symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
KO,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,Mid,Chop,Stretched,False
KO,280,2019-02-13,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Severe,False
KO,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
KO,320,2019-04-11,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
KO,340,2019-05-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Stretched,False
KO,360,2019-06-10,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Severe,False
KO,380,2019-07-09,Unclear,44,0-44,chop;severe,Chop/Regime,4,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Severe,False
KO,400,2019-08-06,Mixed,50,45-69,severe;agree3,Extension,3,capped by severe (<= 50),Mixed,Fresh,Lower,Range,Severe,False
KO,420,2019-09-04,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Mixed,Broken,Upper,Range,Severe,False
KO,440,2019-10-02,Mixed,50,45-69,severe;agree3,Extension,3,capped by severe (<= 50),Mixed,Fresh,Lower,Range,Severe,False
KO,460,2019-10-30,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Fresh,NearResistance,Chop,Severe,False
KO,480,2019-11-27,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Severe,False
KO,500,2019-12-27,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Mixed,Broken,Upper,Range,Severe,False
KO,520,2020-01-28,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Clean,Fresh,Upper,Trend,Severe,False
KO,540,2020-02-26,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Lower,Trend,Severe,False
KO,560,2020-03-25,Mixed,50,45-69,broken;extended;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,NearSupport,Expansion,Extended,False
KO,580,2020-04-23,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,Mid,Chop,Extended,False
KO,600,2020-05-21,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Severe,False
KO,620,2020-06-19,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Extended,False
KO,640,2020-07-20,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Extended,False
KO,660,2020-08-17,Mixed,59,45-69,agree3,Agreement,4,capped by agree3 (<= 69),Weak,Fresh,Upper,Range,Normal,False
KO,680,2020-09-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
KO,700,2020-10-13,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Normal,False
KO,720,2020-11-10,Unclear,40,0-44,broken;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Mixed,Broken,NearResistance,Range,Severe,False
KO,740,2020-12-09,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearResistance,Chop,Severe,False
KO,760,2021-01-08,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearResistance,Chop,Stretched,False
KO,780,2021-02-08,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
KO,800,2021-03-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
KO,820,2021-04-07,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
KO,840,2021-05-05,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
KO,860,2021-06-03,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Severe,False
