symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
AMD,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,Upper,Chop,Normal,False
AMD,280,2019-02-13,Unclear,44,0-44,chop;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Weak,NearResistance,Chop,Stretched,False
AMD,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Normal,False
AMD,320,2019-04-11,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
AMD,340,2019-05-10,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Extended,False
AMD,360,2019-06-10,Mixed,50,45-69,severe,Extension,5,capped by severe (<= 50),Clean,Fresh,NearResistance,Trend,Severe,False
AMD,380,2019-07-09,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Mixed,Fresh,NearResistance,Trend,Severe,False
AMD,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Stretched,False
AMD,420,2019-09-04,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Extended,False
AMD,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
AMD,460,2019-10-30,Unclear,40,0-44,broken;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Mixed,Broken,NearSupport,Range,Severe,False
AMD,480,2019-11-27,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
AMD,500,2019-12-27,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
AMD,520,2020-01-28,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Tested,Upper,Chop,Severe,False
AMD,540,2020-02-26,Mixed,50,45-69,extended;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,NearSupport,Expansion,Severe,False
AMD,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
