symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
MSFT,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
MSFT,280,2019-02-13,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
MSFT,300,2019-03-14,Mixed,50,45-69,compression;severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Mixed,Weak,NearResistance,Compression,Severe,False
MSFT,320,2019-04-11,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
MSFT,340,2019-05-10,Unclear,44,0-44,chop;midrange;severe;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Weak,Mid,Chop,Severe,False
MSFT,360,2019-06-10,Unclear,40,0-44,broken;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Clean,Broken,Upper,Trend,Severe,False
MSFT,380,2019-07-09,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Severe,False
MSFT,400,2019-08-06,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
MSFT,420,2019-09-04,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Severe,False
MSFT,440,2019-10-02,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearSupport,Chop,Severe,False
MSFT,460,2019-10-30,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Upper,Chop,Severe,False
MSFT,480,2019-11-27,Mixed,50,45-69,pricediscovery;severe;agree3,Extension,4,capped by severe (<= 50),Clean,Fresh,Above,Trend,Severe,False
MSFT,500,2019-12-27,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
MSFT,520,2020-01-28,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Severe,False
MSFT,540,2020-02-26,Mixed,50,45-69,extended;severe;weakzone;agree3,Extension,2,capped by severe (<= 50),Clean,Weak,Lower,Expansion,Severe,False
MSFT,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
MSFT,580,2020-04-23,Unclear,40,0-44,broken;chop;contradictory;agree3,Agreement,4,capped by contradictory (<= 40),Clean,Broken,NearResistance,Chop,Stretched,False
