symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
GE,260,2019-01-15,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearResistance,Trend,Severe,False
GE,280,2019-02-13,Mixed,52,45-69,weakzone;agree3,Zone,3,capped by weakzone (<= 52),Weak,Weak,Upper,Trend,Stretched,False
GE,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
GE,320,2019-04-11,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Extended,False
GE,340,2019-05-10,Unclear,40,0-44,broken;contradictory;agree3,Agreement,4,capped by contradictory (<= 40),Clean,Broken,Upper,Trend,Normal,False
GE,360,2019-06-10,Unclear,40,0-44,broken;contradictory;agree3,Agreement,4,capped by contradictory (<= 40),Mixed,Broken,NearSupport,Range,Normal,False
GE,380,2019-07-09,Unclear,44,0-44,chop,Chop/Regime,5,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Stretched,False
GE,400,2019-08-06,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,Lower,Range,Normal,False
GE,420,2019-09-04,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,Mid,Chop,Normal,False
GE,440,2019-10-02,Unclear,40,0-44,broken;contradictory;extended;agree3,Agreement,3,capped by contradictory (<= 40),Mixed,Broken,NearResistance,Range,Extended,False
GE,460,2019-10-30,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
GE,480,2019-11-27,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Severe,False
GE,500,2019-12-27,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
GE,520,2020-01-28,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
GE,540,2020-02-26,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Normal,False
GE,560,2020-03-25,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Extended,False
GE,580,2020-04-23,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
